battle_participant_id,battle_id,trainer_id,team_side,pokemonid,slot_number,is_winner,fainted_flag,venue_type_match_flag,trainer_type_match_flag,venue_resistance_multiplier,base_power,adjusted_power,is_mvp_flag
BP0000081,B000022,T0010,home,406,1,1,1,0,1,0.5,296.1,335.3,0
BP0000082,B000022,T0010,home,544,2,1,1,0,1,1.0,376.99,404.83,1
BP0000083,B000022,T0080,away,65,1,0,0,0,0,1.0,640.0,676.89,0
BP0000084,B000023,T0066,home,658,1,1,0,0,1,1.0,675.23,707.82,1
BP0000085,B000023,T0066,home,356,2,1,0,0,0,1.0,472.1,504.68,0
BP0000086,B000023,T0027,away,623,1,0,0,0,1,0.5,507.97,570.68,0
BP0000087,B000023,T0027,away,667,2,0,0,0,0,2.0,389.48,388.74,0
BP0000088,B000024,T0119,home,409,1,1,0,1,1,1.0,523.01,613.8,0
BP0000089,B000024,T0119,home,526,2,1,0,1,1,1.0,539.55,660.43,1
BP0000090,B000024,T0176,away,737,1,0,1,0,1,2.0,418.48,448.03,0
BP0000091,B000024,T0176,away,532,2,0,1,0,0,0.5,322.1,387.68,0
BP0000092,B000025,T0060,home,431,1,1,0,0,0,1.0,329.15,369.37,0
BP0000093,B000025,T0060,home,720,2,1,0,0,0,4.0,713.7,732.2,1
BP0000094,B000025,T0118,away,633,1,0,0,1,1,0.5,314.86,414.62,0
BP0000095,B000025,T0118,away,210,2,0,1,0,0,0.5,473.25,508.35,0
BP0000096,B000026,T0126,home,6,1,1,0,0,0,0.5,668.37,720.93,1
BP0000097,B000026,T0126,home,730,2,1,0,0,0,1.0,557.08,595.5,0
BP0000098,B000026,T0126,home,748,3,1,0,0,1,0.5,514.34,577.61,0
BP0000099,B000026,T0068,away,676,1,0,1,0,1,1.0,498.89,533.23,0
BP0000100,B000026,T0068,away,667,2,0,0,0,1,0.5,389.48,441.85,0
BP0000101,B000026,T0068,away,18,3,0,0,0,1,1.0,612.47,644.61,0
BP0000102,B000027,T0137,home,86,1,0,0,0,1,1.0,340.75,382.33,0
BP0000103,B000027,T0137,home,656,2,0,1,0,1,1.0,331.73,363.69,0
BP0000104,B000027,T0013,away,685,1,1,0,0,0,1.0,503.84,536.47,0
BP0000105,B000027,T0013,away,635,2,1,0,0,1,1.0,630.86,650.31,1
BP0000106,B000028,T0147,home,46,1,0,1,0,1,1.0,298.1,355.28,0
BP0000107,B000028,T0147,home,402,2,0,1,0,1,1.0,405.0,466.88,0
BP0000108,B000028,T0180,away,478,1,1,0,0,1,1.0,506.6,532.14,0
BP0000109,B000028,T0180,away,545,2,1,1,0,0,0.5,513.89,554.98,1
BP0000110,B000029,T0068,home,39,1,0,0,0,1,0.25,283.0,353.44,0
BP0000111,B000029,T0068,home,667,2,0,1,0,1,1.0,389.48,437.41,0
BP0000112,B000029,T0068,home,18,3,0,0,0,1,1.0,612.47,655.35,0
BP0000113,B000029,T0147,away,46,1,1,1,0,1,1.0,298.1,340.72,0
BP0000114,B000029,T0147,away,402,2,1,0,0,1,1.0,405.0,448.51,0
BP0000115,B000029,T0147,away,127,3,1,0,0,1,1.0,634.25,696.68,1
BP0000116,B000030,T0040,home,648,1,1,0,1,1,1.0,635.1,740.31,0
BP0000117,B000030,T0040,home,445,2,1,0,0,0,1.0,735.79,786.52,1
BP0000118,B000030,T0096,away,266,1,0,1,0,1,1.0,214.85,233.7,0
BP0000119,B000030,T0096,away,347,2,0,1,0,1,0.5,376.35,419.99,0
BP0000120,B000031,T0166,home,347,1,0,1,1,0,1.0,376.35,465.87,0
BP0000121,B000031,T0123,away,670,1,1,1,0,1,0.5,582.14,618.03,1
BP0000122,B000032,T0094,home,281,1,0,0,0,0,0.25,293.85,373.18,0
BP0000123,B000032,T0094,home,84,2,0,0,0,0,1.0,329.8,356.08,0
BP0000124,B000032,T0050,away,724,1,1,0,0,0,0.25,555.86,628.21,1
BP0000125,B000032,T0050,away,465,2,1,1,0,0,1.0,561.05,601.23,0
BP0000126,B000033,T0026,home,582,1,0,1,0,1,1.0,320.28,371.73,0
BP0000127,B000033,T0173,away,749,1,1,0,0,1,1.0,405.4,437.85,1
BP0000128,B000034,T0135,home,667,1,1,1,0,0,0.5,389.48,424.34,0
BP0000129,B000034,T0135,home,367,2,1,0,0,0,0.5,507.56,560.95,1
BP0000130,B000034,T0164,away,556,1,0,0,0,0,2.0,483.78,502.27,0
BP0000131,B000034,T0164,away,187,2,0,0,0,1,4.0,263.3,271.78,0
BP0000132,B000035,T0123,home,225,1,0,1,0,0,1.0,348.7,383.99,0
BP0000133,B000035,T0123,home,760,2,0,0,0,0,2.0,527.2,522.92,0
BP0000134,B000035,T0148,away,332,1,1,1,0,0,0.25,497.3,565.41,1
BP0000135,B000035,T0148,away,776,2,1,0,0,0,1.0,506.35,546.23,0
BP0000136,B000036,T0065,home,727,1,1,0,0,0,1.0,555.65,597.63,1
BP0000137,B000036,T0065,home,625,2,1,0,0,0,0.5,516.65,579.56,0
BP0000138,B000036,T0134,away,560,1,0,1,0,1,1.0,511.16,535.73,0
BP0000139,B000036,T0134,away,739,2,0,1,0,1,1.0,357.32,395.54,0
BP0000140,B000037,T0020,home,289,1,1,0,0,0,1.0,707.3,744.47,1
BP0000141,B000037,T0152,away,752,1,0,0,0,0,1.0,474.64,504.45,0
BP0000142,B000038,T0030,home,522,1,0,1,1,1,0.5,312.77,408.98,0
BP0000143,B000038,T0035,away,701,1,1,1,0,0,2.0,529.17,526.96,1
BP0000144,B000039,T0030,home,310,1,1,0,0,1,1.0,609.5,661.25,1
BP0000145,B000039,T0139,away,198,1,0,1,0,1,1.0,427.82,492.07,0
BP0000146,B000040,T0018,home,251,1,1,0,0,1,1.0,630.0,660.62,1
BP0000147,B000040,T0018,home,230,2,1,0,0,0,1.0,566.3,606.38,0
BP0000148,B000040,T0018,home,518,3,1,0,0,1,1.0,509.59,542.73,0
BP0000149,B000040,T0082,away,750,1,0,1,0,0,0.5,524.2,555.57,0
BP0000150,B000040,T0082,away,113,2,0,1,0,0,1.0,476.55,510.74,0
BP0000151,B000040,T0082,away,425,3,0,1,0,1,2.0,367.9,385.11,0
BP0000152,B000041,T0033,home,471,1,0,1,0,0,1.0,551.95,584.8,0
BP0000153,B000041,T0033,home,356,2,0,1,1,1,2.0,472.1,521.36,0
BP0000154,B000041,T0028,away,373,1,1,0,0,1,1.0,737.25,761.7,1
BP0000155,B000041,T0028,away,705,2,1,1,0,1,1.0,474.89,495.36,0
BP0000156,B000042,T0025,home,611,1,0,1,1,1,2.0,434.2,499.24,0
BP0000157,B000042,T0053,away,623,1,1,0,0,0,1.0,507.97,541.34,1
BP0000158,B000043,T0164,home,276,1,0,0,1,1,1.0,288.1,379.79,0
BP0000159,B000043,T0070,away,57,1,1,1,0,0,2.0,481.55,465.43,1
BP0000160,B000044,T0148,home,65,1,1,1,0,0,1.0,640.0,680.09,1
BP0000161,B000044,T0148,home,776,2,1,0,0,0,0.5,506.35,572.89,0
BP0000162,B000044,T0148,home,621,3,1,1,0,0,0.5,508.71,564.23,0
BP0000163,B000044,T0146,away,798,1,0,0,0,0,0.5,607.06,625.86,0
BP0000164,B000044,T0146,away,277,2,0,1,0,0,2.0,482.8,469.15,0
BP0000165,B000044,T0146,away,59,3,0,1,0,0,1.0,583.7,599.57,0
BP0000166,B000045,T0004,home,757,1,1,0,1,0,0.5,339.32,420.27,1
BP0000167,B000045,T0008,away,190,1,0,1,0,0,1.0,381.3,395.25,0
BP0000168,B000046,T0168,home,530,1,1,1,0,0,0.5,538.11,610.42,1
BP0000169,B000046,T0092,away,304,1,0,1,0,0,0.5,346.7,383.04,0
BP0000170,B000047,T0026,home,221,1,0,1,0,1,2.0,473.0,500.1,0
BP0000171,B000047,T0008,away,528,1,1,0,0,0,0.25,450.94,515.08,1
BP0000172,B000048,T0026,home,221,1,0,0,0,1,2.0,473.0,514.63,0
BP0000173,B000048,T0026,home,99,2,0,1,0,0,2.0,502.9,533.79,0
BP0000174,B000048,T0093,away,160,1,1,1,0,1,2.0,557.01,580.35,1
BP0000175,B000048,T0093,away,550,2,1,1,0,1,2.0,485.87,503.11,0
BP0000176,B000049,T0165,home,2,1,0,1,0,1,1.0,425.6,476.79,0
BP0000177,B000049,T0163,away,680,1,1,0,1,0,2.0,471.45,489.16,1
BP0000178,B000050,T0159,home,476,1,1,0,0,1,0.25,546.3,628.86,1
BP0000179,B000050,T0102,away,523,1,0,1,0,1,1.0,525.82,560.43,0
BP0000180,B000051,T0126,home,70,1,1,0,0,1,1.0,409.55,475.06,0
BP0000181,B000051,T0126,home,372,2,1,1,0,0,1.0,441.85,491.31,1
BP0000182,B000051,T0095,away,516,1,0,1,0,0,1.0,524.86,556.17,0
BP0000183,B000051,T0095,away,535,2,0,1,0,0,1.0,310.18,347.01,0
BP0000184,B000052,T0078,home,114,1,1,0,1,1,0.5,459.2,591.9,1
BP0000185,B000052,T0078,home,677,2,1,0,0,0,1.0,374.3,442.59,0
BP0000186,B000052,T0138,away,577,1,0,1,0,1,1.0,305.55,325.96,0
BP0000187,B000052,T0138,away,432,2,0,1,0,0,1.0,478.75,481.48,0
BP0000188,B000053,T0139,home,764,1,0,1,0,0,1.0,511.61,561.12,0
BP0000189,B000053,T0020,away,671,1,1,0,0,0,1.0,581.56,602.98,1
BP0000190,B000054,T0145,home,177,1,0,1,0,0,2.0,338.25,354.47,0
BP0000191,B000054,T0112,away,339,1,1,0,0,0,0.5,303.69,355.55,1
BP0000192,B000055,T0006,home,445,1,1,0,1,1,2.0,735.79,832.29,1
BP0000193,B000055,T0006,home,633,2,1,0,1,1,2.0,314.86,379.71,0
BP0000194,B000055,T0006,home,148,3,1,0,1,1,2.0,441.67,534.0,0
BP0000195,B000055,T0153,away,1,1,0,1,0,1,1.0,334.1,382.89,0
BP0000196,B000055,T0153,away,564,2,0,1,0,0,1.0,371.73,426.05,0
BP0000197,B000055,T0153,away,537,3,0,1,0,0,1.0,534.48,583.0,0
BP0000198,B000056,T0027,home,459,1,0,1,1,0,1.0,349.76,427.02,0
BP0000199,B000056,T0027,home,623,2,0,0,0,1,2.0,507.97,527.53,0
BP0000200,B000056,T0054,away,479,1,1,0,0,1,1.0,546.57,576.69,1
BP0000201,B000056,T0054,away,561,2,1,0,0,0,2.0,517.48,502.57,0
BP0000202,B000057,T0125,home,597,1,0,1,0,1,2.0,316.95,330.94,0
BP0000203,B000057,T0129,away,319,1,1,0,0,1,2.0,590.8,595.89,1
BP0000204,B000058,T0058,home,402,1,1,0,0,0,1.0,405.0,429.08,0
BP0000205,B000058,T0058,home,452,2,1,0,0,1,1.0,527.6,542.16,1
BP0000206,B000058,T0046,away,345,1,0,1,0,1,1.0,370.29,392.11,0
BP0000207,B000058,T0046,away,346,2,0,1,0,1,1.0,516.29,531.64,0
BP0000208,B000059,T0168,home,367,1,0,1,0,0,1.0,507.56,578.91,0
BP0000209,B000059,T0168,home,177,2,0,1,0,0,1.0,338.25,396.33,0
BP0000210,B000059,T0168,home,72,3,0,1,1,1,0.5,354.4,478.34,0
BP0000211,B000059,T0174,away,316,1,1,0,1,0,0.5,316.39,377.85,0
BP0000212,B000059,T0174,away,135,2,1,0,0,0,1.0,557.4,580.31,0
BP0000213,B000059,T0174,away,530,3,1,0,0,0,0.25,538.11,583.53,1
BP0000214,B000060,T0068,home,667,1,0,0,0,1,1.0,389.48,436.13,0
BP0000215,B000060,T0084,away,778,1,1,1,0,0,1.0,502.72,533.25,1
BP0000216,B000061,T0040,home,404,1,0,1,0,0,1.0,382.45,447.52,0
BP0000217,B000061,T0177,away,65,1,1,0,0,0,1.0,640.0,653.48,1
BP0000218,B000062,T0076,home,257,1,1,0,0,0,1.0,662.8,703.85,0
BP0000219,B000062,T0076,home,791,2,1,0,0,0,0.5,714.8,779.71,1
BP0000220,B000062,T0086,away,771,1,0,1,0,1,1.0,424.65,465.49,0
BP0000221,B000062,T0086,away,768,2,0,1,0,1,1.0,555.55,602.34,0
BP0000222,B000063,T0049,home,774,1,0,1,0,1,0.5,528.4,568.69,0
BP0000223,B000063,T0112,away,139,1,1,0,0,1,0.5,520.55,580.01,1
BP0000224,B000064,T0144,home,83,1,1,0,1,1,1.0,397.1,474.14,1
BP0000225,B000064,T0036,away,755,1,0,1,0,0,2.0,297.75,314.34,0
BP0000226,B000065,T0071,home,169,1,1,0,0,1,0.25,566.05,651.45,1
BP0000227,B000065,T0091,away,262,1,0,0,0,0,1.0,442.6,450.38,0
BP0000228,B000066,T0172,home,278,1,0,1,0,0,1.0,288.1,307.13,0
BP0000229,B000066,T0049,away,426,1,1,0,0,1,2.0,525.0,511.12,1
BP0000230,B000067,T0090,home,760,1,1,1,0,0,2.0,527.2,512.68,1
BP0000231,B000067,T0145,away,177,1,0,1,0,0,1.0,338.25,364.45,0
BP0000232,B000068,T0083,home,657,1,1,0,0,0,1.0,428.78,473.3,0
BP0000233,B000068,T0083,home,413,2,1,0,0,1,1.0,441.59,494.6,1
BP0000234,B000068,T0179,away,328,1,0,1,0,0,1.0,303.7,337.43,0
BP0000235,B000068,T0179,away,450,2,0,1,0,0,1.0,550.9,581.64,0
BP0000236,B000069,T0120,home,478,1,0,1,0,1,0.5,506.6,548.29,0
BP0000237,B000069,T0120,home,292,2,0,1,0,1,0.5,250.3,299.63,0
BP0000238,B000069,T0071,away,169,1,1,0,1,1,0.5,566.05,658.04,1
BP0000239,B000069,T0071,away,559,2,1,1,0,0,1.0,365.76,397.39,0
BP0000240,B000070,T0029,home,236,1,0,1,0,0,1.0,220.5,252.34,0
BP0000241,B000070,T0029,home,509,2,0,1,0,1,1.0,296.82,335.12,0
BP0000242,B000070,T0029,home,158,3,0,0,0,0,0.5,330.06,372.68,0
BP0000243,B000070,T0111,away,203,1,1,0,0,1,1.0,479.15,511.95,0
BP0000244,B000070,T0111,away,220,2,1,0,1,0,1.0,264.5,320.92,0
BP0000245,B000070,T0111,away,699,3,1,0,1,0,0.5,546.63,607.61,1
BP0000246,B000071,T0079,home,39,1,0,0,0,0,2.0,283.0,302.59,0
BP0000247,B000071,T0079,home,464,2,0,1,0,0,0.25,563.25,651.45,0
BP0000248,B000071,T0041,away,196,1,1,0,0,1,1.0,556.6,605.3,1
BP0000249,B000071,T0041,away,764,2,1,0,0,0,2.0,511.61,514.47,0
BP0000250,B000072,T0013,home,484,1,1,1,0,0,1.0,714.5,745.73,1
BP0000251,B000072,T0013,home,758,2,1,0,0,0,4.0,509.32,514.07,0
BP0000252,B000072,T0149,away,458,1,0,1,0,0,0.25,364.05,419.13,0
BP0000253,B000072,T0149,away,171,2,0,0,0,1,2.0,484.17,497.19,0
BP0000254,B000073,T0086,home,688,1,0,0,0,1,1.0,321.61,365.04,0
BP0000255,B000073,T0086,home,226,2,0,1,0,1,1.0,511.05,553.64,0
BP0000256,B000073,T0086,home,768,3,0,0,0,1,1.0,555.55,581.91,0
BP0000257,B000073,T0149,away,171,1,1,0,0,1,1.0,484.17,499.23,0
BP0000258,B000073,T0149,away,134,2,1,0,0,0,1.0,552.85,562.7,1
BP0000259,B000073,T0149,away,523,3,1,1,0,1,1.0,525.82,548.92,0
BP0000260,B000074,T0016,home,655,1,1,0,1,1,0.5,564.35,682.4,1
BP0000261,B000074,T0016,home,303,2,1,0,0,0,2.0,503.15,538.78,0
BP0000262,B000074,T0016,home,219,3,1,0,1,1,0.25,449.8,578.66,0
BP0000263,B000074,T0051,away,103,1,0,0,0,1,2.0,554.4,551.11,0
BP0000264,B000074,T0051,away,471,2,0,1,0,0,2.0,551.95,530.5,0
BP0000265,B000074,T0051,away,211,3,0,1,0,0,0.5,465.3,496.89,0
BP0000266,B000075,T0092,home,125,1,1,0,0,0,1.0,517.7,559.83,1
BP0000267,B000075,T0092,home,239,2,1,1,0,0,1.0,381.6,429.92,0
BP0000268,B000075,T0060,away,544,1,0,0,0,0,1.0,376.99,411.75,0
BP0000269,B000075,T0060,away,51,2,0,1,0,1,1.0,451.45,500.21,0
BP0000270,B000076,T0170,home,480,1,1,1,0,0,1.0,607.65,667.11,1
BP0000271,B000076,T0109,away,174,1,0,1,0,1,1.0,220.5,259.79,0
BP0000272,B000077,T0147,home,596,1,1,1,0,1,1.0,499.22,550.58,0
BP0000273,B000077,T0147,home,46,2,1,0,0,1,1.0,298.1,364.24,0
BP0000274,B000077,T0147,home,430,3,1,1,0,0,1.0,531.12,584.51,1
BP0000275,B000077,T0156,away,737,1,0,0,0,1,1.0,418.48,429.44,0
BP0000276,B000077,T0156,away,665,2,0,1,0,1,1.0,223.89,239.8,0
BP0000277,B000077,T0156,away,530,3,0,0,0,0,0.5,538.11,554.83,0
BP0000278,B000078,T0087,home,320,1,1,0,0,1,0.5,421.05,464.16,1
BP0000279,B000078,T0087,home,83,2,1,0,0,0,1.0,397.1,415.12,0
BP0000280,B000078,T0070,away,770,1,0,1,0,1,1.0,501.95,527.75,0
BP0000281,B000078,T0070,away,546,2,0,1,0,0,2.0,295.88,285.5,0
BP0000282,B000079,T0165,home,2,1,0,1,0,1,2.0,425.6,442.92,0
BP0000283,B000079,T0165,home,15,2,0,1,0,0,2.0,531.65,549.88,0
BP0000284,B000079,T0040,away,648,1,1,0,0,1,1.0,635.1,694.07,1
BP0000285,B000079,T0040,away,288,2,1,0,0,1,1.0,465.2,524.12,0
BP0000286,B000080,T0008,home,232,1,1,0,0,1,1.0,526.1,553.86,1
BP0000287,B000080,T0008,home,368,2,1,0,0,0,1.0,508.36,513.92,0
BP0000288,B000080,T0073,away,51,1,0,1,0,0,1.0,451.45,489.57,0
BP0000289,B000080,T0073,away,624,2,0,1,0,1,0.25,359.75,436.87,0
BP0000290,B000081,T0082,home,425,1,1,1,0,1,2.0,367.9,376.37,0
BP0000291,B000081,T0082,home,359,2,1,1,0,0,1.0,597.05,632.29,1
BP0000292,B000081,T0082,home,442,3,1,0,0,1,1.0,504.46,540.34,0
BP0000293,B000081,T0118,away,753,1,0,0,0,0,1.0,262.35,292.12,0
BP0000294,B000081,T0118,away,633,2,0,1,0,1,1.0,314.86,361.95,0
BP0000295,B000081,T0118,away,783,3,0,1,0,1,0.5,441.05,506.24,0
BP0000296,B000082,T0144,home,780,1,1,1,1,1,2.0,508.57,541.92,1
BP0000297,B000082,T0048,away,375,1,0,1,0,1,0.5,440.0,501.65,0
BP0000298,B000083,T0094,home,84,1,0,0,0,0,0.25,329.8,399.26,0
BP0000299,B000083,T0068,away,676,1,1,0,0,1,1.0,498.89,536.06,1
BP0000300,B000084,T0058,home,777,1,1,1,0,0,0.5,461.26,514.54,0
BP0000301,B000084,T0058,home,359,2,1,1,0,1,2.0,597.05,621.55,1
BP0000302,B000084,T0026,away,99,1,0,0,0,0,1.0,502.9,535.35,0
BP0000303,B000084,T0026,away,221,2,0,1,0,1,1.0,473.0,528.57,0
BP0000304,B000085,T0143,home,777,1,0,0,0,0,0.25,461.26,528.55,0
BP0000305,B000085,T0015,away,701,1,1,0,0,0,1.0,529.17,549.32,1
BP0000306,B000086,T0041,home,561,1,1,0,1,1,0.5,517.48,648.0,1
BP0000307,B000086,T0041,home,160,2,1,1,0,0,1.0,557.01,629.2,0
BP0000308,B000086,T0019,away,437,1,0,1,1,0,0.25,520.23,596.68,0
BP0000309,B000086,T0019,away,459,2,0,0,0,1,1.0,349.76,378.67,0
BP0000310,B000087,T0170,home,792,1,1,0,0,0,1.0,714.8,774.11,1
BP0000311,B000087,T0170,home,2,2,1,0,0,0,1.0,425.6,490.84,0
BP0000312,B000087,T0170,home,331,3,1,1,0,0,1.0,350.5,412.26,0
BP0000313,B000087,T0031,away,228,1,0,1,0,1,0.5,348.95,388.64,0
BP0000314,B000087,T0031,away,467,2,0,1,0,1,0.5,568.46,597.5,0
BP0000315,B000087,T0031,away,206,3,0,1,0,0,1.0,434.5,448.45,0
BP0000316,B000088,T0160,home,564,1,0,1,0,0,1.0,371.73,382.92,0
BP0000317,B000088,T0103,away,434,1,1,0,0,1,1.0,348.42,391.88,1
BP0000318,B000089,T0041,home,196,1,1,0,0,1,1.0,556.6,585.03,1
BP0000319,B000089,T0135,away,70,1,0,0,1,0,0.25,409.55,497.26,0
BP0000320,B000090,T0107,home,139,1,1,0,0,1,2.0,520.55,542.8,1
BP0000321,B000090,T0053,away,341,1,0,0,0,1,2.0,324.0,340.32,0
BP0000322,B000091,T0007,home,375,1,1,0,1,1,0.25,440.0,538.41,1
BP0000323,B000091,T0163,away,496,1,0,0,0,0,1.0,434.51,465.26,0
BP0000324,B000092,T0142,home,667,1,1,0,0,0,2.0,389.48,414.2,0
BP0000325,B000092,T0142,home,384,2,1,1,0,0,0.5,818.45,880.88,1
BP0000326,B000092,T0069,away,332,1,0,1,0,1,0.5,497.3,536.08,0
BP0000327,B000092,T0069,away,253,2,0,1,0,1,0.5,428.95,482.96,0
BP0000328,B000093,T0146,home,176,1,0,1,0,0,2.0,424.2,433.13,0
