battle_id,battle_date,venue_id,battle_format,trainer_home_id,trainer_away_id,home_team_size,away_team_size,trainer_winner_id,trainer_loser_id,winning_side,battle_turns,winning_margin,title_match_flag,weather_condition,attendance
B000018,2024-12-15,V054,doubles,T0028,T0036,2,2,T0036,T0028,away,21,388.37,1,Rain,667
B000019,2024-06-04,V011,singles,T0163,T0091,1,1,T0163,T0091,home,10,138.8,0,Thunderstorm,92
B000020,2025-11-24,V006,triples,T0028,T0052,3,3,T0028,T0052,home,16,345.3,0,Moonless,578
B000021,2024-12-09,V012,singles,T0179,T0176,1,1,T0176,T0179,away,9,111.77,0,Thunderstorm,887
B000022,2024-03-16,V012,doubles,T0010,T0080,2,1,T0010,T0080,home,13,63.24,0,Thunderstorm,1129
B000023,2025-04-14,V048,doubles,T0066,T0027,2,2,T0066,T0027,home,11,253.08,0,Sandstorm,2301
B000024,2024-09-05,V048,doubles,T0119,T0176,2,2,T0119,T0176,home,8,438.52,0,Sandstorm,2017
B000025,2024-03-11,V004,doubles,T0060,T0118,2,2,T0060,T0118,home,14,178.6,0,Moonless,745
B000026,2025-12-27,V051,triples,T0126,T0068,3,3,T0126,T0068,home,22,274.35,1,Overcast,411
B000027,2024-12-08,V033,doubles,T0137,T0013,2,2,T0013,T0137,away,20,440.76,1,Dusty,1810
B000028,2024-02-21,V013,doubles,T0147,T0180,2,2,T0180,T0147,away,7,264.96,0,Glittering,1693
B000029,2024-06-24,V009,triples,T0068,T0147,3,3,T0147,T0068,away,14,39.71,0,High Winds,2048
B000030,2024-03-27,V039,doubles,T0040,T0096,2,2,T0040,T0096,home,11,873.14,0,Clear,586
B000031,2025-12-10,V001,singles,T0166,T0123,1,1,T0123,T0166,away,10,152.16,0,Breezy,736
B000032,2025-08-27,V017,doubles,T0094,T0050,2,2,T0050,T0094,away,9,500.18,0,Clear,761
B000033,2024-07-12,V038,singles,T0026,T0173,1,1,T0173,T0026,away,12,66.12,0,Clear,570
B000034,2024-11-08,V035,doubles,T0135,T0164,2,2,T0135,T0164,home,17,211.24,0,Hail,320
B000035,2025-02-23,V043,doubles,T0123,T0148,2,2,T0148,T0123,away,12,204.73,0,Odd Aura,1087
B000036,2024-08-01,V039,doubles,T0065,T0134,2,2,T0065,T0134,home,11,245.92,0,Clear,670
B000037,2025-03-30,V045,singles,T0020,T0152,1,1,T0020,T0152,home,11,240.02,0,Odd Aura,556
B000038,2024-11-01,V010,singles,T0030,T0035,1,1,T0035,T0030,away,5,117.98,0,Thunderstorm,803
B000039,2025-02-18,V038,singles,T0030,T0139,1,1,T0030,T0139,home,6,169.18,0,Clear,953
B000040,2024-08-18,V048,triples,T0018,T0082,3,3,T0018,T0082,home,19,358.31,1,Sandstorm,2023
B000041,2025-02-11,V026,doubles,T0033,T0028,2,2,T0028,T0033,away,11,150.9,0,Fog,788
B000042,2025-04-14,V008,singles,T0025,T0053,1,1,T0053,T0025,away,14,42.1,0,High Winds,291
B000043,2024-09-10,V024,singles,T0164,T0070,1,1,T0070,T0164,away,7,85.64,0,Windy,1067
B000044,2024-04-21,V012,triples,T0148,T0146,3,3,T0148,T0146,home,19,122.63,1,Thunderstorm,941
B000045,2025-09-12,V020,singles,T0004,T0008,1,1,T0004,T0008,home,11,25.02,0,Harsh Sun,1634
B000046,2024-08-11,V009,singles,T0168,T0092,1,1,T0168,T0092,home,8,227.38,0,High Winds,1829
B000047,2025-09-03,V018,singles,T0026,T0008,1,1,T0008,T0026,away,11,14.98,0,Clear,1428
B000048,2025-07-18,V028,doubles,T0026,T0093,2,2,T0093,T0026,away,21,35.04,1,Sunny,889
B000049,2024-09-16,V025,singles,T0165,T0163,1,1,T0163,T0165,away,4,12.37,0,Fog,1384
B000050,2024-06-07,V040,singles,T0159,T0102,1,1,T0159,T0102,home,7,68.43,0,Smog,263
B000051,2026-02-09,V025,doubles,T0126,T0095,2,2,T0126,T0095,home,14,63.19,0,Fog,1158
B000052,2026-01-20,V030,doubles,T0078,T0138,2,2,T0078,T0138,home,23,227.05,1,Sunny,1114
B000053,2026-01-07,V023,singles,T0139,T0020,1,1,T0020,T0139,away,13,41.86,0,Windy,1306
B000054,2024-03-02,V048,singles,T0145,T0112,1,1,T0112,T0145,away,10,1.08,0,Sandstorm,1770
B000055,2025-11-15,V009,triples,T0006,T0153,3,3,T0006,T0153,home,21,354.06,1,High Winds,1901
B000056,2024-06-27,V035,doubles,T0027,T0054,2,2,T0054,T0027,away,13,124.71,0,Hail,349
B000057,2025-08-20,V017,singles,T0125,T0129,1,1,T0129,T0125,away,6,264.95,0,Clear,753
B000058,2025-09-14,V008,doubles,T0058,T0046,2,2,T0058,T0046,home,19,47.49,0,High Winds,354
B000059,2024-02-18,V041,triples,T0168,T0174,3,3,T0174,T0168,away,16,88.11,0,Smog,611
B000060,2025-05-19,V022,singles,T0068,T0084,1,1,T0084,T0068,away,10,97.12,0,Windy,1228
B000061,2025-06-24,V021,singles,T0040,T0177,1,1,T0177,T0040,away,16,205.96,0,Harsh Sun,256
B000062,2024-09-15,V014,doubles,T0076,T0086,2,2,T0076,T0086,home,17,415.73,1,Glittering,1078
B000063,2025-08-21,V039,singles,T0049,T0112,1,1,T0112,T0049,away,9,11.32,0,Clear,694
B000064,2024-04-06,V024,singles,T0144,T0036,1,1,T0144,T0036,home,6,159.8,0,Windy,997
B000065,2024-12-10,V028,singles,T0071,T0091,1,1,T0071,T0091,home,10,201.07,0,Sunny,842
B000066,2025-05-23,V036,singles,T0172,T0049,1,1,T0049,T0172,away,12,203.99,0,Hail,764
B000067,2024-08-02,V014,singles,T0090,T0145,1,1,T0090,T0145,home,8,148.23,0,Glittering,1522
B000068,2024-12-24,V037,doubles,T0083,T0179,2,2,T0083,T0179,home,15,48.83,0,Clear,1127
B000069,2025-11-12,V042,doubles,T0120,T0071,2,2,T0071,T0120,away,12,207.51,0,Smog,901
B000070,2024-04-27,V035,triples,T0029,T0111,3,3,T0111,T0029,away,14,480.34,0,Hail,425
B000071,2025-08-16,V040,doubles,T0079,T0041,2,2,T0041,T0079,away,16,165.73,0,Smog,255
B000072,2025-07-13,V033,doubles,T0013,T0149,2,2,T0013,T0149,home,10,343.48,0,Dusty,1942
B000073,2024-01-01,V015,triples,T0086,T0149,3,3,T0149,T0086,away,17,110.26,0,Glittering,165
B000074,2025-08-25,V020,triples,T0016,T0051,3,3,T0016,T0051,home,18,221.34,1,Harsh Sun,1502
B000075,2024-02-19,V005,doubles,T0092,T0060,2,2,T0092,T0060,home,11,77.79,0,Moonless,939
B000076,2025-02-13,V036,singles,T0170,T0109,1,1,T0170,T0109,home,12,407.32,0,Hail,680
B000077,2025-08-21,V008,triples,T0147,T0156,3,3,T0147,T0156,home,24,275.26,1,High Winds,247
B000078,2025-03-22,V020,doubles,T0087,T0070,2,2,T0087,T0070,home,12,66.03,0,Harsh Sun,1694
B000079,2024-04-11,V024,doubles,T0165,T0040,2,2,T0040,T0165,away,14,225.39,1,Windy,1164
B000080,2024-11-06,V045,doubles,T0008,T0073,2,2,T0008,T0073,home,10,141.34,0,Odd Aura,575
B000081,2025-11-02,V047,triples,T0082,T0118,3,3,T0082,T0118,home,17,388.69,0,Sandstorm,273
B000082,2025-07-31,V009,singles,T0144,T0048,1,1,T0144,T0048,home,10,40.27,0,High Winds,2046
B000083,2025-09-27,V033,singles,T0094,T0068,1,1,T0068,T0094,away,7,136.8,0,Dusty,2068
B000084,2026-03-19,V014,doubles,T0058,T0026,2,2,T0058,T0026,home,10,72.17,0,Glittering,1067
B000085,2024-07-09,V041,singles,T0143,T0015,1,1,T0015,T0143,away,9,20.77,0,Smog,615
B000086,2024-01-12,V043,doubles,T0041,T0019,2,2,T0041,T0019,home,8,301.85,0,Odd Aura,1249
B000087,2024-03-09,V049,triples,T0170,T0031,3,3,T0170,T0031,home,10,242.62,0,Overcast,648
B000088,2024-09-15,V050,singles,T0160,T0103,1,1,T0103,T0160,away,7,8.96,0,Overcast,223
B000089,2025-08-18,V028,singles,T0041,T0135,1,1,T0041,T0135,home,6,87.77,0,Sunny,897
B000090,2025-10-30,V010,singles,T0107,T0053,1,1,T0107,T0053,home,15,202.48,0,Thunderstorm,598
B000091,2025-01-20,V044,singles,T0007,T0163,1,1,T0007,T0163,home,14,73.15,0,Odd Aura,1557
B000092,2024-01-21,V053,doubles,T0142,T0069,2,2,T0142,T0069,home,8,276.04,0,Rain,443
B000093,2024-04-01,V042,singles,T0146,T0091,1,1,T0091,T0146,away,12,150.58,0,Smog,517
B000094,2024-03-20,V012,doubles,T0122,T0074,2,2,T0122,T0074,home,12,290.21,0,Thunderstorm,1034
B000095,2025-03-10,V006,singles,T0116,T0161,1,1,T0161,T0116,away,14,158.73,0,Moonless,456
B000096,2024-12-18,V026,singles,T0119,T0129,1,1,T0119,T0129,home,13,192.99,0,Fog,710
B000097,2025-01-19,V018,singles,T0028,T0004,1,1,T0028,T0004,home,9,244.69,0,Clear,1203
B000098,2024-09-06,V048,singles,T0061,T0177,1,1,T0061,T0177,home,9,127.39,0,Sandstorm,1935
B000099,2025-03-01,V013,triples,T0089,T0132,3,3,T0089,T0132,home,11,174.23,0,Glittering,1835
B000100,2025-06-27,V025,doubles,T0114,T0117,2,2,T0117,T0114,away,13,324.66,0,Fog,1064
B000101,2024-03-11,V029,doubles,T0063,T0078,2,2,T0063,T0078,home,24,62.15,1,Sunny,465
B000102,2024-03-13,V053,singles,T0116,T0087,1,1,T0087,T0116,away,12,140.64,0,Rain,450
B000103,2026-01-25,V017,doubles,T0121,T0131,2,2,T0131,T0121,away,11,251.55,0,Clear,675
B000104,2024-05-21,V018,triples,T0076,T0130,3,3,T0130,T0076,away,24,239.78,1,Clear,1386
B000105,2026-03-15,V005,doubles,T0149,T0012,2,2,T0012,T0149,away,15,174.58,0,Moonless,1101
B000106,2026-02-23,V014,singles,T0089,T0050,1,1,T0089,T0050,home,13,34.12,0,Glittering,1908
B000107,2024-09-30,V012,doubles,T0030,T0176,2,2,T0176,T0030,away,10,25.05,0,Thunderstorm,1108
B000108,2024-08-11,V049,doubles,T0170,T0144,2,2,T0170,T0144,home,14,234.7,0,Overcast,845
B000109,2025-10-25,V014,singles,T0089,T0086,1,1,T0086,T0089,away,4,92.1,0,Glittering,1698
B000110,2024-12-18,V041,doubles,T0179,T0154,2,2,T0179,T0154,home,10,446.73,0,Smog,501
B000111,2024-05-28,V036,doubles,T0069,T0155,2,2,T0155,T0069,away,12,50.65,0,Hail,779
B000112,2025-12-25,V054,doubles,T0133,T0045,2,2,T0045,T0133,away,19,174.48,1,Rain,577
B000113,2024-06-01,V026,singles,T0134,T0040,1,1,T0134,T0040,home,10,192.08,0,Fog,652
B000114,2024-10-20,V047,singles,T0157,T0018,1,1,T0018,T0157,away,12,75.03,0,Sandstorm,139
B000115,2026-01-14,V033,doubles,T0153,T0052,2,2,T0052,T0153,away,22,304.0,1,Dusty,1633
B000116,2025-09-23,V035,singles,T0067,T0020,1,1,T0020,T0067,away,10,44.06,0,Hail,319
B000117,2025-12-12,V028,doubles,T0007,T0144,2,2,T0144,T0007,away,13,81.18,0,Sunny,929
B000118,2025-07-12,V013,doubles,T0147,T0043,2,2,T0147,T0043,home,14,231.03,0,Glittering,1677
B000119,2024-06-05,V020,doubles,T0060,T0101,2,2,T0101,T0060,away,7,13.9,0,Harsh Sun,1799
B000120,2024-01-05,V039,singles,T0068,T0092,1,1,T0068,T0092,home,12,14.85,0,Clear,631
B000121,2025-05-22,V004,doubles,T0128,T0084,2,2,T0128,T0084,home,12,187.88,0,Moonless,913
B000122,2024-03-04,V002,triples,T0115,T0129,3,3,T0129,T0115,away,13,241.45,0,Breezy,1174
B000123,2025-06-22,V054,singles,T0111,T0058,1,1,T0111,T0058,home,11,64.99,0,Rain,480
B000124,2026-01-29,V022,doubles,T0083,T0088,2,2,T0083,T0088,home,11,417.85,0,Windy,1294
B000125,2024-08-28,V009,singles,T0006,T0141,1,1,T0006,T0141,home,8,162.12,0,High Winds,1942
B000126,2024-02-29,V044,triples,T0168,T0121,3,3,T0121,T0168,away,13,155.33,0,Odd Aura,1641
B000127,2025-11-18,V009,singles,T0175,T0129,1,1,T0129,T0175,away,11,283.49,0,High Winds,2065
B000128,2025-04-14,V031,doubles,T0078,T0061,2,2,T0078,T0061,home,14,193.79,0,Dusty,426
B000129,2024-09-18,V004,doubles,T0161,T0031,2,2,T0031,T0161,away,18,317.81,0,Moonless,677
B000130,2024-07-10,V018,singles,T0104,T0064,1,1,T0104,T0064,home,13,155.35,0,Clear,1573
B000131,2024-11-11,V016,doubles,T0103,T0146,2,2,T0103,T0146,home,7,423.23,0,Clear,193
B000132,2024-12-04,V019,triples,T0057,T0106,3,3,T0057,T0106,home,15,732.65,0,Harsh Sun,1346
B000133,2025-06-13,V043,triples,T0041,T0014,3,3,T0041,T0014,home,16,687.33,0,Odd Aura,957
B000134,2025-10-24,V011,doubles,T0060,T0173,2,3,T0173,T0060,away,13,99.16,0,Thunderstorm,200
B000135,2024-11-01,V024,singles,T0070,T0086,1,1,T0086,T0070,away,10,227.8,0,Windy,1195
B000136,2024-07-07,V031,singles,T0098,T0138,1,1,T0138,T0098,away,14,175.78,0,Dusty,404
B000137,2026-01-21,V005,triples,T0115,T0124,3,3,T0124,T0115,away,17,292.2,0,Moonless,1214
B000138,2024-11-17,V002,singles,T0083,T0077,1,1,T0077,T0083,away,11,192.1,0,Breezy,1332
B000139,2024-03-08,V050,triples,T0089,T0158,3,3,T0089,T0158,home,13,555.06,0,Overcast,155
B000140,2025-11-06,V006,doubles,T0125,T0071,2,2,T0125,T0071,home,12,116.59,0,Moonless,441
B000141,2025-07-06,V019,singles,T0165,T0135,1,1,T0165,T0135,home,14,165.03,0,Harsh Sun,1139
B000142,2025-07-05,V029,singles,T0153,T0079,1,1,T0153,T0079,home,8,223.39,0,Sunny,431
B000143,2025-07-08,V023,doubles,T0111,T0061,2,2,T0111,T0061,home,13,221.84,0,Windy,1267
B000144,2025-04-29,V048,singles,T0119,T0176,1,1,T0176,T0119,away,13,125.78,0,Sandstorm,1938
B000145,2026-02-23,V020,doubles,T0031,T0153,2,2,T0031,T0153,home,14,233.34,0,Harsh Sun,1676
B000146,2024-08-12,V013,doubles,T0088,T0079,2,2,T0088,T0079,home,11,279.79,0,Glittering,1929
B000147,2024-01-21,V020,triples,T0148,T0023,3,3,T0148,T0023,home,17,43.88,0,Harsh Sun,1798
B000148,2026-01-09,V027,singles,T0149,T0112,1,1,T0112,T0149,away,10,3.93,0,Fog,715
B000149,2024-04-27,V030,triples,T0051,T0066,3,3,T0051,T0066,home,12,158.7,0,Sunny,821
B000150,2025-10-23,V025,triples,T0069,T0073,3,3,T0069,T0073,home,14,116.48,0,Fog,1250
B000151,2025-07-03,V044,triples,T0080,T0075,3,3,T0080,T0075,home,17,668.47,0,Odd Aura,1480
B000152,2024-09-09,V001,triples,T0013,T0046,3,3,T0013,T0046,home,17,265.67,0,Breezy,744
B000153,2024-06-17,V053,doubles,T0084,T0161,2,2,T0084,T0161,home,20,66.45,1,Rain,413
B000154,2024-03-28,V031,singles,T0101,T0109,1,1,T0101,T0109,home,9,146.72,0,Dusty,446
B000155,2025-02-23,V028,doubles,T0116,T0096,2,2,T0096,T0116,away,4,251.45,0,Sunny,546
B000156,2026-02-23,V037,singles,T0022,T0062,1,1,T0062,T0022,away,15,142.51,0,Clear,1036
B000157,2024-01-30,V001,triples,T0147,T0043,3,3,T0147,T0043,home,12,172.87,0,Breezy,783
B000158,2026-01-07,V021,triples,T0166,T0129,3,3,T0166,T0129,home,16,191.35,0,Harsh Sun,262
B000159,2025-07-29,V036,singles,T0050,T0093,1,1,T0093,T0050,away,12,58.59,0,Hail,799
B000160,2024-12-20,V046,triples,T0120,T0055,3,3,T0055,T0120,away,15,497.65,1,Sandstorm,580
B000161,2024-08-02,V053,doubles,T0069,T0007,2,2,T0069,T0007,home,15,132.15,0,Rain,469
B000162,2024-03-21,V014,triples,T0138,T0167,3,3,T0167,T0138,away,11,217.43,0,Glittering,1135
B000163,2024-07-02,V020,triples,T0024,T0109,3,3,T0024,T0109,home,13,567.87,0,Harsh Sun,1681
B000164,2024-08-18,V037,doubles,T0117,T0028,2,2,T0117,T0028,home,8,476.03,0,Clear,1039
B000165,2026-02-11,V014,doubles,T0053,T0156,2,2,T0053,T0156,home,13,108.26,0,Glittering,1793
B000166,2026-02-01,V047,doubles,T0134,T0089,2,3,T0089,T0134,away,11,536.13,0,Sandstorm,334
B000167,2025-11-23,V023,singles,T0105,T0056,1,1,T0056,T0105,away,8,138.36,0,Windy,1475
B000168,2025-07-08,V022,doubles,T0028,T0077,2,1,T0028,T0077,home,15,138.6,0,Windy,1176
B000169,2024-04-18,V038,doubles,T0111,T0055,2,2,T0111,T0055,home,13,20.54,0,Clear,939
B000170,2024-06-29,V015,singles,T0079,T0180,1,1,T0180,T0079,away,10,269.4,0,Glittering,162
B000171,2025-02-25,V011,singles,T0174,T0019,1,1,T0019,T0174,away,11,122.86,0,Thunderstorm,157
B000172,2024-07-02,V051,doubles,T0069,T0064,2,2,T0069,T0064,home,7,543.4,0,Overcast,552
B000173,2025-01-19,V025,doubles,T0004,T0168,2,1,T0004,T0168,home,12,344.4,0,Fog,1136
B000174,2025-03-26,V039,triples,T0109,T0136,3,3,T0136,T0109,away,19,43.24,0,Clear,725
B000175,2024-11-06,V050,singles,T0158,T0130,1,1,T0130,T0158,away,9,78.56,0,Overcast,190
B000176,2024-03-24,V038,doubles,T0109,T0088,2,2,T0088,T0109,away,12,327.15,0,Clear,887
B000177,2024-03-01,V049,singles,T0167,T0004,1,1,T0004,T0167,away,6,176.35,0,Overcast,776
B000178,2025-01-03,V053,triples,T0112,T0061,3,3,T0112,T0061,home,12,320.36,0,Rain,443
B000179,2024-12-25,V043,doubles,T0043,T0172,2,2,T0172,T0043,away,13,191.97,0,Odd Aura,1157
B000180,2024-04-15,V044,doubles,T0022,T0165,2,2,T0165,T0022,away,6,256.97,0,Odd Aura,1418
B000181,2025-08-03,V044,doubles,T0018,T0056,2,2,T0018,T0056,home,11,493.76,0,Odd Aura,1486
B000182,2026-02-10,V031,triples,T0015,T0023,3,3,T0015,T0023,home,8,363.1,0,Dusty,456
B000183,2024-07-15,V006,triples,T0066,T0098,3,3,T0098,T0066,away,10,483.78,0,Moonless,546
B000184,2024-11-09,V053,singles,T0053,T0018,1,1,T0053,T0018,home,7,175.82,0,Rain,496
B000185,2024-07-07,V036,doubles,T0115,T0018,2,2,T0018,T0115,away,12,82.46,0,Hail,673
B000186,2026-01-16,V004,doubles,T0069,T0119,2,2,T0119,T0069,away,4,123.44,0,Moonless,835
B000187,2026-01-05,V002,doubles,T0146,T0010,2,2,T0010,T0146,away,18,57.32,0,Breezy,1071
B000188,2024-01-15,V026,doubles,T0077,T0063,2,2,T0063,T0077,away,13,32.33,0,Fog,705
B000189,2024-01-02,V051,doubles,T0074,T0057,2,2,T0057,T0074,away,8,263.37,0,Overcast,468
B000190,2025-10-02,V016,doubles,T0044,T0059,2,2,T0044,T0059,home,17,21.98,0,Clear,156
B000191,2024-02-26,V048,singles,T0020,T0141,1,1,T0020,T0141,home,15,26.15,0,Sandstorm,2396
B000192,2026-03-21,V040,singles,T0134,T0020,1,1,T0134,T0020,home,12,250.08,0,Smog,249
B000193,2025-04-10,V046,doubles,T0036,T0075,2,2,T0036,T0075,home,21,340.8,1,Sandstorm,476
B000194,2026-02-20,V016,doubles,T0131,T0024,2,2,T0131,T0024,home,11,200.51,0,Clear,218
B000195,2025-04-26,V012,triples,T0030,T0057,3,3,T0030,T0057,home,17,257.95,0,Thunderstorm,785
B000196,2024-10-27,V022,doubles,T0082,T0045,2,3,T0045,T0082,away,17,333.26,1,Windy,656
B000197,2025-12-27,V047,singles,T0014,T0020,1,1,T0014,T0020,home,8,126.13,0,Sandstorm,353
B000198,2024-07-03,V026,doubles,T0159,T0068,2,2,T0068,T0159,away,11,249.63,0,Fog,691
B000199,2025-08-13,V030,singles,T0009,T0087,1,1,T0087,T0009,away,11,127.47,0,Sunny,483
B000200,2025-01-23,V052,doubles,T0086,T0085,2,2,T0086,T0085,home,16,333.19,0,Rain,669
B000201,2026-03-12,V053,doubles,T0071,T0149,2,2,T0149,T0071,away,14,34.69,0,Rain,384
B000202,2025-10-10,V027,doubles,T0169,T0098,2,2,T0098,T0169,away,10,278.84,0,Fog,729
B000203,2025-08-03,V039,triples,T0084,T0114,3,3,T0084,T0114,home,15,291.23,0,Clear,662
B000204,2024-06-23,V011,doubles,T0149,T0158,2,2,T0149,T0158,home,15,55.46,1,Thunderstorm,161
B000205,2024-04-20,V033,triples,T0006,T0050,3,3,T0006,T0050,home,15,6.6,0,Dusty,1869
B000206,2025-07-10,V012,singles,T0079,T0112,1,1,T0112,T0079,away,7,301.4,0,Thunderstorm,822
B000207,2025-04-19,V036,singles,T0067,T0016,1,1,T0016,T0067,away,13,138.99,0,Hail,727
B000208,2025-06-25,V044,singles,T0041,T0073,1,1,T0073,T0041,away,11,39.21,0,Odd Aura,1483
B000209,2026-02-24,V027,doubles,T0128,T0092,2,2,T0128,T0092,home,12,233.55,0,Fog,752
B000210,2024-04-27,V017,doubles,T0044,T0050,2,2,T0050,T0044,away,11,253.41,0,Clear,717
B000211,2024-02-28,V039,singles,T0141,T0035,1,1,T0035,T0141,away,10,201.92,0,Clear,717
B000212,2024-06-15,V012,triples,T0088,T0154,3,3,T0088,T0154,home,12,217.31,0,Thunderstorm,1028
B000213,2026-03-04,V021,doubles,T0134,T0027,2,2,T0027,T0134,away,14,275.51,0,Harsh Sun,135
B000214,2025-03-12,V041,triples,T0063,T0160,3,3,T0063,T0160,home,24,400.44,1,Smog,556
B000215,2024-03-28,V048,triples,T0119,T0056,3,3,T0119,T0056,home,15,247.41,0,Sandstorm,2107
B000216,2024-12-14,V028,singles,T0031,T0082,1,1,T0082,T0031,away,6,286.75,0,Sunny,843
B000217,2024-03-14,V018,singles,T0173,T0178,1,1,T0178,T0173,away,8,395.14,0,Clear,1792
B000218,2025-04-05,V034,triples,T0101,T0038,3,3,T0038,T0101,away,15,320.7,0,Hail,1738
B000219,2025-10-23,V021,doubles,T0178,T0139,2,2,T0139,T0178,away,16,38.19,0,Harsh Sun,260
B000220,2025-09-05,V034,singles,T0020,T0168,1,1,T0020,T0168,home,9,32.44,0,Hail,1634
B000221,2024-08-13,V029,doubles,T0127,T0068,2,2,T0127,T0068,home,14,246.78,0,Sunny,566
B000222,2025-05-06,V012,doubles,T0080,T0151,2,2,T0080,T0151,home,10,210.77,0,Thunderstorm,989
B000223,2024-02-03,V036,singles,T0119,T0009,1,1,T0009,T0119,away,5,54.54,0,Hail,686
B000224,2026-03-06,V031,doubles,T0142,T0127,2,2,T0142,T0127,home,24,480.52,1,Dusty,483
B000225,2025-09-10,V007,doubles,T0016,T0054,2,2,T0054,T0016,away,11,81.1,0,High Winds,1494
B000226,2024-11-11,V021,doubles,T0052,T0023,2,2,T0052,T0023,home,13,551.45,0,Harsh Sun,234
B000227,2025-01-22,V048,doubles,T0012,T0064,2,2,T0012,T0064,home,8,118.42,0,Sandstorm,2191
B000228,2025-05-09,V017,doubles,T0149,T0031,2,2,T0031,T0149,away,8,246.45,0,Clear,564
B000229,2025-09-22,V036,doubles,T0050,T0159,2,2,T0050,T0159,home,7,83.86,0,Hail,702
B000230,2024-04-01,V047,triples,T0111,T0055,3,3,T0055,T0111,away,5,6.11,0,Sandstorm,357
B000231,2025-06-23,V002,triples,T0105,T0163,3,3,T0105,T0163,home,15,91.84,0,Breezy,961
B000232,2025-05-05,V015,doubles,T0099,T0142,2,2,T0099,T0142,home,12,12.71,0,Glittering,123
B000233,2025-03-01,V050,singles,T0148,T0135,1,1,T0135,T0148,away,10,40.97,0,Overcast,222
B000234,2024-07-15,V040,triples,T0096,T0154,3,3,T0096,T0154,home,13,571.87,0,Smog,281
B000235,2024-03-05,V029,singles,T0080,T0018,1,1,T0080,T0018,home,12,130.76,0,Sunny,436
B000236,2026-03-14,V024,singles,T0071,T0176,1,1,T0176,T0071,away,11,322.91,0,Windy,1006
B000237,2025-07-23,V013,singles,T0015,T0055,1,1,T0015,T0055,home,4,40.13,0,Glittering,1562
B000238,2026-03-24,V037,singles,T0042,T0167,1,1,T0167,T0042,away,13,2.8,0,Clear,1186
B000239,2024-08-04,V047,doubles,T0064,T0099,2,2,T0099,T0064,away,9,84.53,0,Sandstorm,370
B000240,2025-11-29,V007,doubles,T0084,T0060,2,2,T0060,T0084,away,14,37.7,0,High Winds,1510
B000241,2024-04-21,V054,doubles,T0027,T0017,2,2,T0017,T0027,away,15,151.33,0,Rain,610
B000242,2025-12-29,V032,singles,T0037,T0174,1,1,T0037,T0174,home,9,301.48,0,Dusty,1258
B000243,2025-12-15,V027,doubles,T0043,T0003,2,2,T0043,T0003,home,13,203.21,0,Fog,794
B000244,2025-01-15,V042,singles,T0103,T0089,1,1,T0089,T0103,away,12,393.88,0,Smog,761
B000245,2026-02-04,V036,singles,T0057,T0135,1,1,T0135,T0057,away,11,145.19,0,Hail,799
B000246,2025-08-14,V013,doubles,T0035,T0116,2,2,T0035,T0116,home,6,129.93,0,Glittering,1612
B000247,2024-01-23,V028,triples,T0151,T0120,3,3,T0151,T0120,home,18,337.77,0,Sunny,615
B000248,2025-04-28,V025,singles,T0088,T0014,1,1,T0088,T0014,home,14,210.07,0,Fog,1255
B000249,2025-11-04,V025,singles,T0089,T0086,1,1,T0089,T0086,home,10,390.5,0,Fog,1043
B000250,2025-10-27,V015,doubles,T0032,T0004,2,2,T0032,T0004,home,5,700.02,0,Glittering,202
