venue_id,venue_name,region,lat,lon,venue_type,environment_style,head_trainer_id,home_weather,terrain_edge_pct,capacity,indoor_outdoor,prestige_tier
V045,Littleroot Mind Palace,Hoenn,33.1863,130.7589,psychic,Mind Palace,T0009,Odd Aura,0.122,752,Outdoor,Regional
V046,Slateport Cliffside Arena,Hoenn,33.0781,130.2852,rock,Cliffside Arena,T0130,Sandstorm,0.15,1108,Outdoor,Local
V047,Vermilion Canyon Ring,Kanto,35.1266,138.3554,rock,Canyon Ring,T0076,Sandstorm,0.164,769,Outdoor,Local
V048,Ecruteak Canyon Ring,Johto,34.9251,136.37,rock,Canyon Ring,T0119,Sandstorm,0.085,2500,Outdoor,Major
V049,Couriway Foundry Hall,Kalos,48.4818,1.8216,steel,Foundry Hall,T0170,Overcast,0.093,1057,Outdoor,Regional
V050,Mistralton Gear Arena,Unova,42.2893,-74.9548,steel,Gear Arena,T0100,Overcast,0.127,426,Indoor,Local
V051,Cerulean Iron Bastion,Kanto,34.8981,139.2618,steel,Iron Bastion,T0117,Overcast,0.13,1070,Outdoor,Local
V052,Ecruteak Cascade Basin,Johto,32.4042,132.8532,water,Cascade Basin,T0179,Rain,0.174,1459,Indoor,Local
V053,Coumarine Aquarium,Kalos,49.0926,1.8493,water,Aquarium,T0053,Rain,0.085,543,Outdoor,Major
V054,Olivine Aquarium,Johto,35.3437,137.2396,water,Aquarium,T0151,Rain,0.153,1303,Outdoor,Local
